url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,566,364
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,302,203
/mmvanheusden/SteamDepotDownloaderGUI/releases,57,29
/mmvanheusden/SteamDepotDownloaderGUI/issues,34,24
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,21,7
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,14,10
/mmvanheusden/SteamDepotDownloaderGUI/releases/v2.4.2,12,8
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,10,10
/mmvanheusden/SteamDepotDownloaderGUI/pulls,10,8
/mmvanheusden/SteamDepotDownloaderGUI/commits,8,3
