url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,258,154
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,133,77
/mmvanheusden/SteamDepotDownloaderGUI/releases,25,14
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,19,11
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,17,13
/mmvanheusden/SteamDepotDownloaderGUI/issues,14,8
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,11,2
/mmvanheusden/SteamDepotDownloaderGUI/pull/160,10,4
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,8,2
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,7,3
