url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,479,299
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,267,177
/mmvanheusden/SteamDepotDownloaderGUI/releases,57,32
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,35,4
/mmvanheusden/SteamDepotDownloaderGUI/issues,14,12
/mmvanheusden/steamdepotdownloadergui,11,2
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.4.1...v2.4.2,9,9
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,8,4
/mmvanheusden/SteamDepotDownloaderGUI/graphs/commit-activity,8,1
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,7,4
