url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,408,251
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,220,145
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,34,15
/mmvanheusden/SteamDepotDownloaderGUI/releases,31,20
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,25,19
/mmvanheusden/SteamDepotDownloaderGUI/issues,20,15
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,12,9
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,8,3
/mmvanheusden/SteamDepotDownloaderGUI/tree/master,7,4
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.4.1...v2.4.2,6,5
