time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-21 00:00:00+00:00,,,71,37
2024-09-22 00:00:00+00:00,,,74,28
2024-09-23 00:00:00+00:00,6.0,4.0,78,28
2024-09-24 00:00:00+00:00,6.0,3.0,95,33
2024-09-25 00:00:00+00:00,,,76,27
2024-09-26 00:00:00+00:00,3.0,2.0,46,22
2024-09-27 00:00:00+00:00,2.0,2.0,46,24
2024-09-28 00:00:00+00:00,1.0,1.0,110,36
2024-09-29 00:00:00+00:00,,,79,36
2024-09-30 00:00:00+00:00,3.0,2.0,51,27
2024-10-01 00:00:00+00:00,,,64,23
2024-10-02 00:00:00+00:00,,,59,33
2024-10-03 00:00:00+00:00,5.0,2.0,69,34
2024-10-04 00:00:00+00:00,,,65,30
