url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,276,169
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,129,79
/mmvanheusden/SteamDepotDownloaderGUI/releases,31,19
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,15,10
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,14,11
/mmvanheusden/SteamDepotDownloaderGUI/issues,13,8
/mmvanheusden/SteamDepotDownloaderGUI/pull/157,8,7
/mmvanheusden/SteamDepotDownloaderGUI/tree/v2.2.0,8,1
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,6,3
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,6,1
