url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,416,267
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,245,176
/mmvanheusden/SteamDepotDownloaderGUI/releases,26,19
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,18,11
/mmvanheusden/SteamDepotDownloaderGUI/issues,17,12
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,11,4
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,9,7
/mmvanheusden/SteamDepotDownloaderGUI/issues/192,9,4
/mmvanheusden/SteamDepotDownloaderGUI/issues/193,7,4
/mmvanheusden/SteamDepotDownloaderGUI/commits,6,3
