time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-20 00:00:00+00:00,3,2,131,47
2024-03-21 00:00:00+00:00,4,3,52,28
2024-03-22 00:00:00+00:00,2,2,63,24
2024-03-23 00:00:00+00:00,6,5,82,37
2024-03-24 00:00:00+00:00,3,2,74,31
2024-03-25 00:00:00+00:00,7,4,47,24
2024-03-26 00:00:00+00:00,1,1,37,18
2024-03-27 00:00:00+00:00,5,4,35,16
2024-03-28 00:00:00+00:00,3,3,20,12
2024-03-29 00:00:00+00:00,2,2,72,26
2024-03-30 00:00:00+00:00,2,2,61,23
2024-03-31 00:00:00+00:00,1,1,42,19
2024-04-01 00:00:00+00:00,7,4,40,16
2024-04-02 00:00:00+00:00,5,3,40,15
