url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,707,506
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,367,232
/mmvanheusden/SteamDepotDownloaderGUI/releases,35,26
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,24,18
/mmvanheusden/SteamDepotDownloaderGUI/issues,20,14
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.4.1...v2.4.2,17,12
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,16,6
/mmvanheusden/SteamDepotDownloaderGUI/pulls,12,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,9,5
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,8,4
