url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,681,450
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,181,124
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,79,63
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,60,25
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,58,42
/mmvanheusden/SteamDepotDownloaderGUI/releases,38,32
/mmvanheusden/SteamDepotDownloaderGUI/issues,28,24
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,23,9
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,12,12
/mmvanheusden/SteamDepotDownloaderGUI/pulls,11,9
