url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,618,405
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,448,290
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,60,27
/mmvanheusden/SteamDepotDownloaderGUI/releases,32,20
/mmvanheusden/SteamDepotDownloaderGUI/issues,26,19
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,22,6
/mmvanheusden/SteamDepotDownloaderGUI/pulls,12,10
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,12,6
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,12,6
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,12,5
