url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,593,363
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,381,251
/mmvanheusden/SteamDepotDownloaderGUI/releases,37,26
/mmvanheusden/SteamDepotDownloaderGUI/issues,27,15
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,20,7
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,11,10
/mmvanheusden/SteamDepotDownloaderGUI/issues/193,11,5
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,10,10
/mmvanheusden/SteamDepotDownloaderGUI/tree/master,10,3
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.4.1...v2.4.2,9,7
