url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,427,278
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,261,180
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,55,42
/mmvanheusden/SteamDepotDownloaderGUI/releases,25,18
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,23,8
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,16,7
/mmvanheusden/SteamDepotDownloaderGUI/issues,15,12
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/main.js,14,6
/mmvanheusden/SteamDepotDownloaderGUI/tree/v2.2.0,12,2
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,7,6
