url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,2151,1526
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,743,517
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,219,89
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,103,67
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,77,27
/mmvanheusden/SteamDepotDownloaderGUI/issues,53,44
/mmvanheusden/SteamDepotDownloaderGUI/releases,53,44
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,30,26
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,24,19
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,19,18
