url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,500,324
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,292,203
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,62,48
/mmvanheusden/SteamDepotDownloaderGUI/releases,44,36
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,25,12
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,23,9
/mmvanheusden/SteamDepotDownloaderGUI/issues,15,13
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.4.1...v2.4.2,11,10
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,11,8
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,10,9
