url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,491,318
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,313,211
/mmvanheusden/SteamDepotDownloaderGUI/releases,48,40
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,24,20
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,23,10
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,20,11
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.4.1...v2.4.2,17,13
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,14,11
/mmvanheusden/SteamDepotDownloaderGUI/issues,13,11
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,8,6
