url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,245,151
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,128,73
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,20,13
/mmvanheusden/SteamDepotDownloaderGUI/releases,19,13
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,17,5
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,14,9
/mmvanheusden/SteamDepotDownloaderGUI/issues,12,8
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,10,8
/mmvanheusden/SteamDepotDownloaderGUI/pull/160,10,4
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,9,8
