url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,554,385
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,421,278
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,56,25
/mmvanheusden/SteamDepotDownloaderGUI/releases,34,21
/mmvanheusden/SteamDepotDownloaderGUI/issues,28,20
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,22,6
/mmvanheusden/SteamDepotDownloaderGUI/pulls,15,14
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,14,9
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,12,6
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,12,5
