url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,432,270
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,236,166
/mmvanheusden/SteamDepotDownloaderGUI/releases,31,21
/mmvanheusden/SteamDepotDownloaderGUI/issues,23,16
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,15,5
/mmvanheusden/SteamDepotDownloaderGUI/issues/192,12,6
/mmvanheusden/SteamDepotDownloaderGUI/issues/193,10,6
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,9,9
/mmvanheusden/SteamDepotDownloaderGUI/issues/210,8,7
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,8,6
