time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-02 00:00:00+00:00,5.0,3.0,72,29
2024-09-03 00:00:00+00:00,,,25,16
2024-09-04 00:00:00+00:00,,,34,18
2024-09-05 00:00:00+00:00,1.0,1.0,70,26
2024-09-06 00:00:00+00:00,2.0,2.0,64,27
2024-09-07 00:00:00+00:00,,,100,31
2024-09-08 00:00:00+00:00,,,55,27
2024-09-09 00:00:00+00:00,1.0,1.0,54,28
2024-09-10 00:00:00+00:00,3.0,2.0,75,29
2024-09-11 00:00:00+00:00,,,55,26
2024-09-12 00:00:00+00:00,1.0,1.0,67,26
2024-09-13 00:00:00+00:00,17.0,6.0,87,45
2024-09-14 00:00:00+00:00,2.0,2.0,44,27
2024-09-15 00:00:00+00:00,1.0,1.0,95,41
