url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,1527,1055
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,606,405
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,155,60
/mmvanheusden/SteamDepotDownloaderGUI/releases,67,47
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,54,16
/mmvanheusden/SteamDepotDownloaderGUI/issues,32,26
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,17,14
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.4.0...v2.4.1,15,10
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,14,11
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github/ISSUE_TEMPLATE,13,5
