time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-25 00:00:00+00:00,1.0,1.0,84,32
2024-08-26 00:00:00+00:00,1.0,1.0,110,33
2024-08-27 00:00:00+00:00,2.0,1.0,64,28
2024-08-28 00:00:00+00:00,3.0,1.0,82,33
2024-08-29 00:00:00+00:00,,,57,28
2024-08-30 00:00:00+00:00,2.0,2.0,90,36
2024-08-31 00:00:00+00:00,,,98,36
2024-09-01 00:00:00+00:00,4.0,2.0,76,35
2024-09-02 00:00:00+00:00,5.0,3.0,72,29
2024-09-03 00:00:00+00:00,,,25,16
2024-09-04 00:00:00+00:00,,,34,18
2024-09-05 00:00:00+00:00,1.0,1.0,70,26
2024-09-06 00:00:00+00:00,2.0,2.0,64,27
2024-09-07 00:00:00+00:00,,,95,29
