url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,792,549
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,379,247
/mmvanheusden/SteamDepotDownloaderGUI/releases,54,31
/mmvanheusden/SteamDepotDownloaderGUI/issues,29,21
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,24,18
/mmvanheusden/SteamDepotDownloaderGUI/pulls,18,11
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.4.1...v2.4.2,12,9
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,12,4
/mmvanheusden/SteamDepotDownloaderGUI/releases/v2.4.2,9,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,9,5
