url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,260,155
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,142,76
/mmvanheusden/SteamDepotDownloaderGUI/releases,23,16
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,20,12
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,15,4
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,12,10
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,12,8
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,12,3
/mmvanheusden/SteamDepotDownloaderGUI/issues,11,7
/mmvanheusden/SteamDepotDownloaderGUI/pull/160,10,4
