url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,696,514
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,364,236
/mmvanheusden/SteamDepotDownloaderGUI/releases,44,33
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,27,20
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.4.1...v2.4.2,17,12
/mmvanheusden/SteamDepotDownloaderGUI/issues,16,10
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,16,6
/mmvanheusden/SteamDepotDownloaderGUI/pulls,10,5
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,9,5
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,8,4
