time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-30 00:00:00+00:00,,,105,28
2024-07-31 00:00:00+00:00,1.0,1.0,113,38
2024-08-01 00:00:00+00:00,,,49,23
2024-08-02 00:00:00+00:00,8.0,6.0,78,32
2024-08-03 00:00:00+00:00,,,94,38
2024-08-04 00:00:00+00:00,1.0,1.0,97,38
2024-08-05 00:00:00+00:00,2.0,2.0,82,36
2024-08-06 00:00:00+00:00,1.0,1.0,65,29
2024-08-07 00:00:00+00:00,,,52,24
2024-08-08 00:00:00+00:00,3.0,2.0,76,27
2024-08-09 00:00:00+00:00,2.0,2.0,69,23
2024-08-10 00:00:00+00:00,,,78,38
2024-08-11 00:00:00+00:00,,,82,27
2024-08-12 00:00:00+00:00,1.0,1.0,69,32
