url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,801,544
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,370,242
/mmvanheusden/SteamDepotDownloaderGUI/releases,52,25
/mmvanheusden/SteamDepotDownloaderGUI/issues,35,23
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,21,7
/mmvanheusden/SteamDepotDownloaderGUI/pulls,18,11
/mmvanheusden/SteamDepotDownloaderGUI/releases/v2.4.2,14,10
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,11,11
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.4.1...v2.4.2,8,8
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,8,7
