url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,513,330
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,282,190
/mmvanheusden/SteamDepotDownloaderGUI/releases,43,27
/mmvanheusden/SteamDepotDownloaderGUI/issues,29,20
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,21,7
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,11,7
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,10,10
/mmvanheusden/SteamDepotDownloaderGUI/releases/v2.4.2,10,6
/mmvanheusden/SteamDepotDownloaderGUI/pulls,9,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,9,3
