url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,247,149
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,128,73
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,21,13
/mmvanheusden/SteamDepotDownloaderGUI/releases,20,12
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,16,12
/mmvanheusden/SteamDepotDownloaderGUI/issues,11,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,11,2
/mmvanheusden/SteamDepotDownloaderGUI/pull/160,10,4
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,8,2
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,7,3
