time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-27 00:00:00+00:00,,,126,43
2024-06-28 00:00:00+00:00,1.0,1.0,117,43
2024-06-29 00:00:00+00:00,,,82,32
2024-06-30 00:00:00+00:00,1.0,1.0,86,32
2024-07-01 00:00:00+00:00,3.0,3.0,68,31
2024-07-02 00:00:00+00:00,5.0,3.0,71,28
2024-07-03 00:00:00+00:00,1.0,1.0,125,36
2024-07-04 00:00:00+00:00,,,71,34
2024-07-05 00:00:00+00:00,1.0,1.0,162,61
2024-07-06 00:00:00+00:00,2.0,2.0,198,69
2024-07-07 00:00:00+00:00,1.0,1.0,118,41
2024-07-08 00:00:00+00:00,8.0,5.0,142,59
2024-07-09 00:00:00+00:00,,,93,35
2024-07-10 00:00:00+00:00,,,79,29
