url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,241,161
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,127,83
/mmvanheusden/SteamDepotDownloaderGUI/commits/master,36,2
/mmvanheusden/SteamDepotDownloaderGUI/releases,17,15
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,11,5
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,10,7
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,6,3
/mmvanheusden/SteamDepotDownloaderGUI/issues,5,5
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,5,4
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,4,4
