url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,542,343
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,214,148
/mmvanheusden/SteamDepotDownloaderGUI/releases,49,29
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,48,35
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,47,21
/mmvanheusden/SteamDepotDownloaderGUI/issues,29,23
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,25,10
/mmvanheusden/SteamDepotDownloaderGUI/pulls,14,11
/mmvanheusden/SteamDepotDownloaderGUI/tree/master,9,6
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,8,7
