url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,474,318
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,309,208
/mmvanheusden/SteamDepotDownloaderGUI/releases,50,39
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,28,22
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,23,9
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.4.1...v2.4.2,17,13
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,17,11
/mmvanheusden/SteamDepotDownloaderGUI/issues,12,12
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,12,10
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,6,5
