url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,426,273
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,263,179
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,56,43
/mmvanheusden/SteamDepotDownloaderGUI/releases,30,25
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,30,14
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,25,10
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/main.js,14,6
/mmvanheusden/SteamDepotDownloaderGUI/tree/v2.2.0,12,2
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,9,8
/mmvanheusden/SteamDepotDownloaderGUI/issues,9,7
