url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,404,243
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,198,126
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,36,16
/mmvanheusden/SteamDepotDownloaderGUI/releases,30,19
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,26,19
/mmvanheusden/SteamDepotDownloaderGUI/issues,22,17
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,12,9
/mmvanheusden/SteamDepotDownloaderGUI/pulls,8,5
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,8,3
/mmvanheusden/SteamDepotDownloaderGUI/tree/master,7,4
