url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,424,281
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,168,126
/mmvanheusden/SteamDepotDownloaderGUI/releases,48,29
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,39,18
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,38,23
/mmvanheusden/SteamDepotDownloaderGUI/issues,23,17
/mmvanheusden/SteamDepotDownloaderGUI/pulls,13,9
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,9,8
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,9,6
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,8,4
