url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,442,284
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,236,163
/mmvanheusden/SteamDepotDownloaderGUI/releases,35,24
/mmvanheusden/SteamDepotDownloaderGUI/issues,25,18
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,19,7
/mmvanheusden/SteamDepotDownloaderGUI/issues/192,12,7
/mmvanheusden/SteamDepotDownloaderGUI/issues/193,11,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,11,3
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,10,6
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,10,3
