url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,257,153
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,145,80
/mmvanheusden/SteamDepotDownloaderGUI/releases,24,16
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,22,14
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,15,4
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,12,3
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,11,9
/mmvanheusden/SteamDepotDownloaderGUI/issues,10,6
/mmvanheusden/SteamDepotDownloaderGUI/pull/160,10,4
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.4.0...v2.4.1,8,4
