url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,432,281
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,288,186
/mmvanheusden/SteamDepotDownloaderGUI/releases,57,36
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,19,12
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/utils.js,12,2
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,10,7
/mmvanheusden/SteamDepotDownloaderGUI/issues,10,6
/mmvanheusden/SteamDepotDownloaderGUI/graphs/commit-activity,8,1
/mmvanheusden/SteamDepotDownloaderGUI/releases/v2.4.2,6,6
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,6,4
