url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,544,351
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,299,208
/mmvanheusden/SteamDepotDownloaderGUI/releases,50,28
/mmvanheusden/SteamDepotDownloaderGUI/issues,33,24
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,21,7
/mmvanheusden/SteamDepotDownloaderGUI/releases/v2.4.2,12,8
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,11,7
/mmvanheusden/SteamDepotDownloaderGUI/pulls,10,8
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,9,9
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,9,3
