url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,212,154
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,98,76
/mmvanheusden/SteamDepotDownloaderGUI/releases,16,10
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,12,10
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,10,5
/mmvanheusden/SteamDepotDownloaderGUI/issues,9,7
/mmvanheusden/SteamDepotDownloaderGUI/tree/steamdeck-dotnet,7,5
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,7,2
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.2.0,5,5
/mmvanheusden/SteamDepotDownloaderGUI/fork,5,1
