time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-09 00:00:00+00:00,2.0,2.0,56,23
2024-03-10 00:00:00+00:00,2.0,2.0,28,15
2024-03-11 00:00:00+00:00,6.0,5.0,15,8
2024-03-12 00:00:00+00:00,2.0,2.0,40,17
2024-03-13 00:00:00+00:00,1.0,1.0,50,14
2024-03-14 00:00:00+00:00,1.0,1.0,32,16
2024-03-15 00:00:00+00:00,2.0,2.0,22,15
2024-03-16 00:00:00+00:00,5.0,4.0,53,23
2024-03-17 00:00:00+00:00,9.0,5.0,51,24
2024-03-18 00:00:00+00:00,12.0,8.0,22,13
2024-03-19 00:00:00+00:00,4.0,4.0,68,30
2024-03-20 00:00:00+00:00,3.0,2.0,131,47
2024-03-21 00:00:00+00:00,4.0,3.0,52,28
2024-03-22 00:00:00+00:00,,,60,23
