url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,414,280
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,260,180
/mmvanheusden/SteamDepotDownloaderGUI/releases,45,28
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,20,12
/mmvanheusden/SteamDepotDownloaderGUI/issues,16,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/utils.js,16,2
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,12,4
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,9,6
/mmvanheusden/SteamDepotDownloaderGUI/releases/v2.4.2,8,8
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,8,1
