time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-17 00:00:00+00:00,3.0,3.0,87,33
2024-05-18 00:00:00+00:00,2.0,2.0,78,24
2024-05-19 00:00:00+00:00,6.0,3.0,70,40
2024-05-20 00:00:00+00:00,4.0,3.0,84,36
2024-05-21 00:00:00+00:00,2.0,2.0,63,29
2024-05-22 00:00:00+00:00,5.0,2.0,48,23
2024-05-23 00:00:00+00:00,11.0,7.0,42,22
2024-05-24 00:00:00+00:00,2.0,2.0,49,25
2024-05-25 00:00:00+00:00,2.0,2.0,59,20
2024-05-26 00:00:00+00:00,6.0,3.0,72,30
2024-05-27 00:00:00+00:00,15.0,8.0,67,30
2024-05-28 00:00:00+00:00,2.0,2.0,79,26
2024-05-29 00:00:00+00:00,5.0,5.0,73,23
2024-05-30 00:00:00+00:00,,,63,28
