url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,710,532
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,553,406
/mmvanheusden/SteamDepotDownloaderGUI/releases,54,37
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,35,14
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,32,20
/mmvanheusden/SteamDepotDownloaderGUI/issues,26,16
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,19,6
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,15,12
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,13,5
/mmvanheusden/SteamDepotDownloaderGUI/releases/v2.4.2,11,9
