url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,764,531
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,157,110
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,137,90
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,72,49
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,72,31
/mmvanheusden/SteamDepotDownloaderGUI/releases,36,31
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,30,12
/mmvanheusden/SteamDepotDownloaderGUI/issues,20,18
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,16,16
/mmvanheusden/SteamDepotDownloaderGUI/pulls,10,8
