time_iso8601,stars_cumulative
2020-11-14 00:00:00+00:00,1
2020-12-01 00:00:00+00:00,2
2020-12-18 00:00:00+00:00,3
2021-02-01 00:00:00+00:00,4
2021-02-16 00:00:00+00:00,5
2021-02-19 00:00:00+00:00,6
2021-02-23 00:00:00+00:00,7
2021-05-16 00:00:00+00:00,8
2021-07-25 00:00:00+00:00,9
2021-09-03 00:00:00+00:00,10
2021-09-10 00:00:00+00:00,11
2021-10-10 00:00:00+00:00,12
2021-10-12 00:00:00+00:00,13
2021-10-23 00:00:00+00:00,14
2021-10-24 00:00:00+00:00,16
2021-10-25 00:00:00+00:00,17
2021-10-31 00:00:00+00:00,18
2021-11-12 00:00:00+00:00,19
2021-11-13 00:00:00+00:00,20
2021-11-18 00:00:00+00:00,21
2021-11-22 00:00:00+00:00,22
2021-12-19 00:00:00+00:00,23
2022-01-16 00:00:00+00:00,24
2022-03-10 00:00:00+00:00,25
2022-03-23 00:00:00+00:00,26
2022-04-26 00:00:00+00:00,28
2022-05-01 00:00:00+00:00,29
2022-05-10 00:00:00+00:00,30
2022-06-14 00:00:00+00:00,31
2022-06-16 00:00:00+00:00,33
2022-06-23 00:00:00+00:00,34
2022-07-03 00:00:00+00:00,35
2022-07-08 00:00:00+00:00,36
2022-07-25 00:00:00+00:00,37
2022-08-12 00:00:00+00:00,38
2022-08-17 00:00:00+00:00,39
2022-09-21 00:00:00+00:00,40
2022-10-15 00:00:00+00:00,41
2022-10-18 00:00:00+00:00,42
2022-10-23 00:00:00+00:00,44
2022-10-26 00:00:00+00:00,45
2022-10-29 00:00:00+00:00,46
2022-11-03 00:00:00+00:00,48
2022-11-06 00:00:00+00:00,49
2022-11-22 00:00:00+00:00,51
2022-11-24 00:00:00+00:00,52
2022-12-01 00:00:00+00:00,53
2022-12-12 00:00:00+00:00,54
2022-12-13 00:00:00+00:00,55
2022-12-21 00:00:00+00:00,56
2022-12-31 00:00:00+00:00,57
2023-01-11 00:00:00+00:00,58
2023-02-12 00:00:00+00:00,59
2023-03-04 00:00:00+00:00,60
2023-03-13 00:00:00+00:00,62
2023-03-27 00:00:00+00:00,63
2023-03-31 00:00:00+00:00,64
2023-04-17 00:00:00+00:00,65
2023-04-29 00:00:00+00:00,66
2023-05-13 00:00:00+00:00,67
2023-05-17 00:00:00+00:00,68
2023-06-08 00:00:00+00:00,69
2023-06-16 00:00:00+00:00,70
2023-06-28 00:00:00+00:00,71
2023-07-02 00:00:00+00:00,72
2023-07-08 00:00:00+00:00,74
2023-07-20 00:00:00+00:00,75
2023-08-06 00:00:00+00:00,76
2023-08-15 00:00:00+00:00,77
2023-08-18 00:00:00+00:00,78
2023-08-22 00:00:00+00:00,79
2023-08-23 00:00:00+00:00,80
2023-08-25 00:00:00+00:00,81
2023-08-26 00:00:00+00:00,82
2023-09-02 00:00:00+00:00,84
2023-09-04 00:00:00+00:00,85
2023-09-07 00:00:00+00:00,86
2023-09-17 00:00:00+00:00,87
2023-09-18 00:00:00+00:00,89
2023-09-20 00:00:00+00:00,90
2023-10-02 00:00:00+00:00,92
2023-10-03 00:00:00+00:00,93
2023-10-17 00:00:00+00:00,94
2023-10-26 00:00:00+00:00,96
2023-11-11 00:00:00+00:00,97
2023-11-16 00:00:00+00:00,98
2023-11-18 00:00:00+00:00,100
2023-11-22 00:00:00+00:00,101
2023-12-05 00:00:00+00:00,102
2023-12-06 00:00:00+00:00,104
2023-12-07 00:00:00+00:00,112
2023-12-08 00:00:00+00:00,126
2023-12-09 00:00:00+00:00,129
2023-12-10 00:00:00+00:00,131
2023-12-11 00:00:00+00:00,134
2023-12-17 00:00:00+00:00,136
2023-12-19 00:00:00+00:00,137
2023-12-23 00:00:00+00:00,138
2023-12-26 00:00:00+00:00,139
2023-12-29 00:00:00+00:00,141
2024-01-04 00:00:00+00:00,142
2024-01-05 00:00:00+00:00,143
2024-01-09 00:00:00+00:00,144
2024-01-11 00:00:00+00:00,146
2024-01-12 00:00:00+00:00,147
2024-01-20 00:00:00+00:00,149
2024-01-21 00:00:00+00:00,150
2024-01-24 00:00:00+00:00,151
2024-02-13 00:00:00+00:00,152
2024-02-20 00:00:00+00:00,153
2024-02-21 00:00:00+00:00,154
2024-02-23 00:00:00+00:00,155
2024-02-27 00:00:00+00:00,156
2024-03-01 00:00:00+00:00,157
2024-03-03 00:00:00+00:00,158
2024-03-04 00:00:00+00:00,159
2024-03-05 00:00:00+00:00,161
2024-03-11 00:00:00+00:00,162
2024-03-14 00:00:00+00:00,163
2024-03-15 00:00:00+00:00,164
2024-03-16 00:00:00+00:00,165
2024-03-17 00:00:00+00:00,167
2024-03-20 00:00:00+00:00,169
2024-03-28 00:00:00+00:00,170
2024-03-31 00:00:00+00:00,172
2024-04-03 00:00:00+00:00,173
2024-04-07 00:00:00+00:00,174
2024-04-08 00:00:00+00:00,176
2024-04-11 00:00:00+00:00,177
2024-04-12 00:00:00+00:00,178
2024-04-13 00:00:00+00:00,180
2024-04-25 00:00:00+00:00,183
2024-04-28 00:00:00+00:00,184
2024-04-30 00:00:00+00:00,185
2024-05-01 00:00:00+00:00,186
2024-05-03 00:00:00+00:00,187
2024-05-04 00:00:00+00:00,188
2024-05-07 00:00:00+00:00,189
2024-05-11 00:00:00+00:00,190
2024-05-14 00:00:00+00:00,192
2024-05-15 00:00:00+00:00,193
2024-05-16 00:00:00+00:00,195
2024-05-18 00:00:00+00:00,196
2024-05-26 00:00:00+00:00,197
2024-06-04 00:00:00+00:00,198
2024-06-12 00:00:00+00:00,199
2024-06-22 00:00:00+00:00,201
2024-06-25 00:00:00+00:00,202
2024-06-26 00:00:00+00:00,203
2024-06-30 00:00:00+00:00,204
2024-07-02 00:00:00+00:00,205
2024-07-06 00:00:00+00:00,206
2024-07-08 00:00:00+00:00,208
2024-07-12 00:00:00+00:00,210
2024-07-13 00:00:00+00:00,211
2024-07-15 00:00:00+00:00,214
2024-07-16 00:00:00+00:00,215
2024-07-22 00:00:00+00:00,216
2024-07-23 00:00:00+00:00,217
2024-07-25 00:00:00+00:00,218
2024-07-27 00:00:00+00:00,219
2024-07-31 00:00:00+00:00,220
2024-08-05 00:00:00+00:00,221
2024-08-06 00:00:00+00:00,222
2024-08-07 00:00:00+00:00,223
2024-08-09 00:00:00+00:00,224
2024-08-14 00:00:00+00:00,225
2024-08-15 00:00:00+00:00,226
2024-08-20 00:00:00+00:00,228
2024-08-22 00:00:00+00:00,230
2024-08-23 00:00:00+00:00,231
2024-08-24 00:00:00+00:00,232
2024-08-25 00:00:00+00:00,233
2024-08-26 00:00:00+00:00,234
2024-08-29 00:00:00+00:00,235
2024-08-30 00:00:00+00:00,237
2024-08-31 00:00:00+00:00,238
2024-09-01 00:00:00+00:00,240
2024-09-02 00:00:00+00:00,241
2024-09-03 00:00:00+00:00,242
2024-09-04 00:00:00+00:00,243
2024-09-06 00:00:00+00:00,244
2024-09-07 00:00:00+00:00,245
2024-09-09 00:00:00+00:00,246
2024-09-14 00:00:00+00:00,247
2024-09-15 00:00:00+00:00,248
2024-09-17 00:00:00+00:00,249
2024-09-19 00:00:00+00:00,250
2024-09-20 00:00:00+00:00,251
